noise,averages,number of averages
0.0,0.9999999999899398,89
0.2631578947368421,0.9966146187844898,89
0.5263157894736842,0.9865605938589357,89
0.7894736842105263,0.9705374476700199,89
1.0526315789473684,0.9474196541845099,89
1.3157894736842104,0.9168247775528864,89
1.5789473684210527,0.8807906424503685,89
1.8421052631578947,0.8451410699682923,89
2.1052631578947367,0.7940999112647372,89
2.3684210526315788,0.7414197722016274,89
2.631578947368421,0.6944893399563887,89
2.894736842105263,0.6308100383642962,89
3.1578947368421053,0.5598278333999018,89
3.4210526315789473,0.5147793543304535,89
3.6842105263157894,0.4253697948044468,89
3.9473684210526314,0.3406373063493055,89
4.2105263157894735,0.25764689125189794,89
4.473684210526316,0.1820269072390006,89
4.7368421052631575,0.14923392734894228,89
5.0,0.126220900967029,89
