noise,averages,number of averages
0.0,0.9999999999999577,14
0.2631578947368421,0.9967200616083038,14
0.5263157894736842,0.9869460245153031,14
0.7894736842105263,0.9698015466667332,14
1.0526315789473684,0.9473870019331047,14
1.3157894736842104,0.918724918220176,14
1.5789473684210527,0.8847736985504081,14
1.8421052631578947,0.8417434037232497,14
2.1052631578947367,0.8055380948955353,14
2.3684210526315788,0.7540467285505512,14
2.631578947368421,0.7109553573724456,14
2.894736842105263,0.6190392866376729,14
3.1578947368421053,0.5523537858975561,14
3.4210526315789473,0.4854876024750984,14
3.6842105263157894,0.4166364472366284,14
3.9473684210526314,0.3816282363677799,14
4.2105263157894735,0.2923998902017991,14
4.473684210526316,0.1975826410352747,14
4.7368421052631575,0.15990933596633425,14
5.0,0.11655927385266472,14
