density,averages,number of averages
0.0001,0.05712500188043509,3
0.1579894736842105,0.149551344803412,3
0.31587894736842104,0.18061011891085635,3
0.47376842105263156,0.28237214691321066,3
0.6316578947368421,0.38334784420806267,3
0.7895473684210526,0.32060565965693294,3
0.9474368421052631,0.48324535207149283,3
1.1053263157894737,0.3233186866005641,3
1.2632157894736842,0.6268405949687642,3
1.4211052631578946,0.5856563198343913,3
1.5789947368421051,0.6521804977001214,3
1.7368842105263158,0.5656324195495916,3
1.8947736842105263,0.6943949918881174,3
2.052663157894737,0.712355791158544,3
2.2105526315789477,0.6745621768058213,3
2.368442105263158,0.6942063212831258,3
2.5263315789473686,0.716782616798877,3
2.684221052631579,0.6768490955759946,3
2.8421105263157895,0.6990864981073693,3
3.0,0.7061539131354166,3
3.0,0.696923100962738,3
3.7777777777777777,0.7514629070947229,3
4.555555555555555,0.775641152328218,3
5.333333333333334,0.7383967828417229,3
6.111111111111111,0.7386588264388024,3
6.888888888888889,0.7327302685214572,3
7.666666666666667,0.7593542914014616,3
8.444444444444445,0.7574413830795779,3
9.222222222222221,0.7613169839731292,3
10.0,0.7472046932029971,3
