density,average_0
0.0001,0.05505191103023638
0.2143785714285714,0.16513561296912047
0.4286571428571428,0.2879123869951137
0.6429357142857142,0.431429475864644
0.8572142857142856,0.6963003888881663
1.071492857142857,0.7345558852829146
1.2857714285714283,0.8387115691577627
1.5000499999999999,0.7970477783262471
1.7143285714285712,0.7369288869846207
1.9286071428571425,0.8366340796022298
2.1428857142857143,0.849093880078039
2.3571642857142856,0.812564784469819
2.571442857142857,0.8192370696123732
2.7857214285714282,0.8628351712904716
3.0,0.8009042640784932
3.5,0.8142661648367018
5.125,0.8278517671397991
6.75,0.8544129791934405
8.375,0.8310931496129135
10.0,0.8581186766811627
