density,average_0
0.0001,0.0745777725475087
0.2143785714285714,0.03294601148133799
0.4286571428571428,0.2788337578540311
0.6429357142857142,0.6698583031448773
0.8572142857142856,0.7424357520687035
1.071492857142857,0.8053670191298266
1.2857714285714283,0.7685194757227441
1.5000499999999999,0.7858776071761886
1.7143285714285712,0.7866955912531625
1.9286071428571425,0.8598723758203802
2.1428857142857143,0.8224059376226522
2.3571642857142856,0.8288108963286842
2.571442857142857,0.8770481366317688
2.7857214285714282,0.8427002669414528
3.0,0.7840323387247724
3.5,0.8197965328826513
5.125,0.831115600824013
6.75,0.8319449940098079
8.375,0.834653817016336
10.0,0.8126128886862783
