density,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10
0.0001,0.18357732242067507,0.18235612386577946,0.06992082463516802,0.1426285976981268,0.05107637963771552,0.10865330167483844,0.06837297813276892,0.19345470980926546,0.11246532204338736,0.03986032792708006,0.045721115602346894
0.2143785714285714,0.9686392114856268,0.9050830873992824,0.8746062652956588,0.9680023781782642,0.989262730905462,0.9054654247217028,0.9942228025946656,0.7106312132572149,0.9911894925661674,0.8584736831527112,0.9164789528530374
0.4286571428571428,0.9997403597829712,0.9979819942159632,0.9998374056408418,0.9969004275813712,0.9999911897716244,0.8528379500363676,0.9999998549676594,0.9999929438697108,0.9996288735873948,0.9581341177286836,0.9999451831566475
0.6429357142857142,0.9999999854991388,0.9999999128797434,0.9999999998472688,0.9999933225412676,0.9999999998019624,0.9999999485703288,0.9999999999600716,0.9999134622004248,0.9999999999999996,0.9999931922385128,0.9999999832525269
0.8572142857142856,0.9999999999989552,0.9999903034346718,0.9999999999969524,1.0,0.9999999999974376,0.9999994855310282,0.9999999999992152,0.9999982515255168,0.9999999996446456,0.9999999960860416,0.9999999641334522
1.071492857142857,0.9999999999999998,0.9999999579896184,1.0,0.9999999999802032,0.9999999999994386,0.9999999999062898,0.9999989565907644,0.9999999999935412,1.0,0.9999999999850562,1.0
1.2857714285714283,1.0000000000000002,1.0000000000000004,1.0,1.0,1.0,1.0000000000000002,0.9999999999999974,0.9999999999999925,0.9999999999999974,0.9999999999995892,0.9999999834916655
1.50005,1.0000000000000002,1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,0.9999999999999999
1.7143285714285712,0.999999999999999,1.0,1.0,1.0000000000000004,1.0,1.0,1.0000000000000004,1.0000000000000009,1.0,1.0000000000000002,1.0000000000000004
1.9286071428571423,0.9999999999999992,0.9999999999999996,1.0,1.000000000000001,1.0000000000000002,1.0,1.0000000000000009,1.0,0.9999999999999996,1.0,1.0000000000000002
2.1428857142857143,1.0000000000000004,1.0000000000000009,1.0000000000000009,1.0000000000000002,1.0000000000000009,0.9999999999999998,1.0000000000000009,0.9999999999999998,1.0000000000000009,1.0,0.9999999999999998
2.3571642857142856,0.9999999999999992,1.0000000000000002,0.9999999999999996,1.0,1.0,1.0,1.0000000000000009,1.0000000000000009,1.0000000000000002,0.9999999999999996,1.0
2.571442857142857,1.0,0.9999999999999992,0.9999999999999992,1.0,0.9999999999999998,0.9999999999999992,1.0,1.0,0.9999999999999994,0.999999999999999,0.9999999999999997
2.7857214285714282,0.9999999999999992,0.9999999999999996,1.0,1.0000000000000002,0.9999999999999992,0.9999999999999992,1.0000000000000009,0.9999999999999996,1.0000000000000009,1.0,1.0000000000000007
3.0,1.0,0.9999999999999996,1.0000000000000009,1.000000000000001,1.0000000000000009,1.0000000000000009,0.9999999999999994,1.0000000000000002,1.0000000000000009,0.9999999999999998,1.0
3.5,1.0000000000000009,1.0000000000000002,1.0,0.9999999999999992,1.0000000000000004,0.9999999999999992,0.9999999999999992,0.9999999999999996,0.9999999999999996,1.0,1.0000000000000004
5.125,0.9999999999999994,1.0,1.0,0.9999999999999996,1.0000000000000002,1.0000000000000004,0.9999999999999996,1.0,1.0000000000000002,0.9999999999999992,1.0
6.75,1.0000000000000009,0.9999999999999996,1.0000000000000002,1.0,1.0000000000000004,1.0,1.0000000000000002,0.9999999999999994,1.0000000000000004,1.0000000000000002,1.0000000000000002
8.375,0.9999999999999996,0.9999999999999998,1.0000000000000009,1.0000000000000009,1.0000000000000002,1.0,0.9999999999999992,0.9999999999999996,1.0000000000000004,1.0000000000000004,1.0000000000000002
10.0,0.9999999999999992,0.9999999999999992,0.9999999999999996,1.0000000000000009,1.0000000000000009,1.0000000000000002,0.9999999999999996,0.9999999999999996,1.0000000000000004,1.0000000000000002,1.0000000000000004
