,angle,fitness,inner rad,outer rad,spikes
0,3.14058948913,0.603808538953,0.738483997844,1.0,15
1,2.4756335596,0.150827987142,0.79321920157,1.0,7
2,5.12527821444,0.687418999751,0.730111786545,1.0,10
3,2.4756335596,0.71942525758,0.738483997844,1.0,11
4,5.12527821444,0.484311151672,0.715466854412,1.0,11
5,2.4756335596,0.408230273228,0.79321920157,1.0,10
6,5.12527821444,0.629631652954,0.780640277122,1.0,10
7,2.4756335596,0.378201264913,0.504909417803,1.0,10
8,2.4756335596,0.336498794119,0.79321920157,1.0,15
9,3.64819220654,0.394002137166,0.79321920157,1.0,15
10,0.192731739028,0.748787816549,0.738483997844,1.0,11
11,5.12527821444,0.555668568936,0.738483997844,1.0,15
12,3.14058948913,0.506824974292,0.464967852501,1.0,15
13,0.709414906286,0.127567510906,0.383056422034,1.0,5
14,5.12527821444,0.639739459184,0.730111786545,1.0,15
15,0.192731739028,0.493265761325,0.79321920157,1.0,15
16,2.4756335596,0.807483014849,0.738483997844,1.0,11
17,3.22700186359,0.440743108032,0.79321920157,1.0,15
18,0.192731739028,0.560831036556,0.738483997844,1.0,15
19,0.192731739028,0.355410516552,0.79321920157,1.0,15
20,0.192731739028,0.540348124758,0.464967852501,1.0,11
21,2.4756335596,0.419385250004,0.715466854412,1.0,15
22,4.42180865984,0.355762820614,0.738483997844,1.0,7
23,3.14058948913,0.466986899007,0.79321920157,1.0,10
24,3.14058948913,0.606058384331,0.730111786545,1.0,15
25,4.62520345116,0.334869646328,0.440342410747,1.0,11
26,2.4756335596,0.679904607019,0.79321920157,1.0,11
27,0.192731739028,0.900269702313,0.79321920157,1.0,7
28,5.12527821444,0.74576398191,0.730111786545,1.0,10
29,2.4756335596,0.543337498644,0.504909417803,1.0,11
