noise,average_0,average_1,average_2,average_3
0.0,0.9999999999999936,1.0000000000000009,1.000000000000001,1.0000000000000016
0.2631578947368421,0.9967129519797824,0.9966575264085142,0.9968857264306832,0.9967226844310348
0.5263157894736842,0.9875300023949326,0.9878272527276388,0.9873648975299356,0.986427583986806
0.7894736842105263,0.9707433230455992,0.9687848034770998,0.9718606306210934,0.9680920545182572
1.0526315789473684,0.946597106243246,0.9525099163074332,0.949583455142604,0.9527845990304726
1.3157894736842104,0.9230025043614676,0.9208322938939144,0.9204693654833259,0.9286608937112663
1.5789473684210529,0.8810160461329245,0.8862640281512391,0.8890182861609267,0.8831759924083471
1.8421052631578947,0.8442049304002932,0.8363568398501671,0.8383337734089809,0.8379682799213444
2.1052631578947367,0.7866961952688171,0.7927381712294825,0.8031150542048759,0.7977163353060496
2.3684210526315788,0.7373078012620966,0.7541536196055656,0.7366929030772658,0.750824958779819
2.631578947368421,0.6700966299705728,0.6807798702056946,0.6910887710722042,0.7063192361225589
2.894736842105264,0.6313134924776471,0.6584402663047001,0.6206093597856297,0.6495445645447402
3.1578947368421053,0.5691537724685133,0.5901740894486727,0.6060841339716254,0.5498927465900441
3.4210526315789487,0.4794687561717931,0.4695608449103574,0.4968638004839869,0.5117503227951723
3.684210526315789,0.4879316579593521,0.4296044953313642,0.4498161188269372,0.4415561963534449
3.947368421052632,0.3291380614582582,0.3035174158583176,0.3712230272015852,0.346048911402697
4.2105263157894735,0.14199696737324066,0.12730102389979125,0.16500925821166434,0.16443962348347635
4.473684210526316,0.12058096360539547,0.04237509329476697,0.1131898151103746,0.0263111079229027
4.7368421052631575,0.03406227262057696,0.045782512402454206,0.02814121502243111,0.050409277116565246
5.0,0.003121734754286144,0.01850304928490424,0.0588190105447657,0.08268428562472055
