,angle,fitness,inner rad,outer rad,spikes
0,0.309786073674,3.87066761619,0.51542599412,1.0,11
1,0.309786073674,5.6941694691,0.761215191823,1.0,6
2,0.307859554885,5.58628556471,0.761215191823,1.0,11
3,0.307859554885,4.71023476317,0.820225398764,1.0,11
4,0.307859554885,3.97987347205,0.51542599412,1.0,11
5,0.307859554885,5.72289588256,0.761215191823,1.0,11
6,0.309786073674,6.00198506811,0.761215191823,1.0,7
7,2.73609927385,0.804379801468,0.51542599412,1.0,11
8,0.309786073674,5.65111525995,0.761215191823,1.0,6
9,0.307859554885,5.64138369392,0.761215191823,1.0,11
10,0.309786073674,3.7944801306,0.51542599412,1.0,6
11,0.309786073674,5.75965801397,0.761215191823,1.0,11
12,1.20068545987,0.31627510234,0.200590720207,1.0,10
13,0.309786073674,5.42498727771,0.761215191823,1.0,6
14,0.309786073674,6.17544099646,0.761215191823,1.0,7
15,0.307859554885,5.47624699007,0.761215191823,1.0,11
16,0.309786073674,4.04196405676,0.510680167118,1.0,11
17,0.309786073674,5.83103157552,0.761215191823,1.0,11
18,0.307859554885,5.70261269926,0.761215191823,1.0,11
19,0.307859554885,5.09389792211,0.761215191823,1.0,11
20,0.309786073674,5.90705545302,0.761215191823,1.0,7
21,0.309786073674,5.57052651297,0.761215191823,1.0,11
22,2.12023117155,5.75478872949,0.761215191823,1.0,11
23,0.309786073674,5.44344426749,0.761215191823,1.0,11
24,0.309786073674,5.75470204228,0.761215191823,1.0,6
25,0.309786073674,4.90949710281,0.820225398764,1.0,11
26,0.309786073674,5.54708562093,0.761215191823,1.0,11
27,0.309786073674,4.18919741529,0.510680167118,1.0,7
28,0.309786073674,5.69446836475,0.761215191823,1.0,11
29,2.12023117155,6.05220907719,0.761215191823,1.0,7
