averages,noise,number of averages
1.0,0.0,66
0.997062181901,0.263157894737,66
0.988064510733,0.526315789474,66
0.973888289507,0.789473684211,66
0.953567377796,1.05263157895,66
0.928897300008,1.31578947368,66
0.897730256308,1.57894736842,66
0.858104780961,1.84210526316,66
0.824528736415,2.10526315789,66
0.778492863232,2.36842105263,66
0.731273674398,2.63157894737,66
0.667123048167,2.89473684211,66
0.630019443755,3.15789473684,66
0.581905021068,3.42105263158,66
0.503397759589,3.68421052632,66
0.461006317348,3.94736842105,66
0.397669556481,4.21052631579,66
0.332114699953,4.47368421053,66
0.267203265081,4.73684210526,66
0.212216736813,5.0,66
