noise,averages,number of averages
0.0,1.0,8
0.2631578947368421,0.996917755215066,8
0.5263157894736842,0.9876922246826196,8
0.7894736842105263,0.9712152984877144,8
1.0526315789473684,0.9503446415943592,8
1.3157894736842104,0.916406129173175,8
1.5789473684210527,0.8851790164319192,8
1.8421052631578947,0.8490168561368044,8
2.1052631578947367,0.7974595029551119,8
2.3684210526315788,0.7598422366071643,8
2.631578947368421,0.706484971322847,8
2.894736842105263,0.6463013167059216,8
3.1578947368421053,0.5996633933424669,8
3.4210526315789473,0.5190844678917459,8
3.6842105263157894,0.4417395879611826,8
3.9473684210526314,0.3876783409461614,8
4.2105263157894735,0.347501332475886,8
4.473684210526316,0.2292415261265851,8
4.7368421052631575,0.1025892808202028,8
5.0,0.15977908330383128,8
