density,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10,average_11,average_12,average_13,average_14,average_15,average_16,average_17,average_18,average_19,average_20,average_21,average_22,average_23,average_24,average_25,average_26,average_27,average_28,average_29,average_30,average_31
0.6429357142857142,4.1665,4.5555,4.6465,4.1755,4.4335,4.66,4.3,6.059500000000001,4.519500000000002,4.146999999999999,5.3325,4.23,4.179499999999999,4.076499999999999,5.0470000000000015,4.6345,4.1455,5.445499999999999,6.166500000000001,4.82,4.8965,4.6145,5.012,5.684500000000001,5.3679999999999986,5.072,4.827,4.5385,4.191000000000002,4.566,4.169999999999999,4.816
0.8572142857142856,5.891499999999999,5.626999999999998,6.060999999999999,5.824,5.9220000000000015,9.097500000000002,4.848,6.85,6.2269999999999985,4.93,5.283,4.867000000000001,5.860000000000001,5.934500000000001,5.414999999999999,6.267,5.832500000000001,5.1745,5.62,5.8735,5.6345,5.631,5.410000000000001,5.226,6.4135,6.054500000000001,5.6925,5.0325,4.534500000000001,4.8965000000000005,5.7094999999999985,6.068499999999999
1.071492857142857,7.211,7.695500000000001,6.1415,7.1145000000000005,6.168999999999999,6.8295,8.027999999999999,5.0870000000000015,6.567,7.3450000000000015,6.4170000000000025,5.751,5.8980000000000015,6.4495,6.436499999999999,7.2995,5.9175,7.565000000000001,7.428000000000003,5.482500000000001,5.4209999999999985,7.9715000000000025,9.7855,5.3395,7.166999999999999,5.466,6.2565,7.1935,6.618499999999999,6.871999999999999,5.797999999999999,5.659000000000001
1.2857714285714283,8.2235,7.685500000000001,6.6320000000000014,9.2125,7.849500000000001,7.251,7.596,6.9115,7.060000000000001,6.561999999999999,6.7065,8.648000000000001,5.872000000000001,6.841,7.118499999999997,6.174999999999999,8.880999999999998,6.735500000000001,9.982500000000002,9.0765,7.611999999999999,6.6485,7.5845,7.6320000000000014,7.520499999999997,8.193,7.9620000000000015,7.206500000000001,6.354,7.208000000000001,7.866999999999999,7.660999999999999
1.50005,8.463000000000001,9.0245,8.0555,8.984,6.932,7.915999999999999,7.8054999999999986,7.570499999999999,8.516000000000002,7.286000000000001,10.9945,8.6265,7.8845,7.241999999999997,7.5735,7.1720000000000015,9.148,8.582999999999998,7.024,8.721,10.285,7.758999999999999,8.48,8.421999999999999,8.0715,8.890999999999998,8.0635,7.841,8.225,7.116000000000001,8.856,7.7255
1.7143285714285712,8.177999999999999,8.46,7.680999999999999,9.5775,10.4105,9.706,8.782,8.523,7.945499999999999,8.109000000000002,8.089499999999997,7.697999999999999,8.482999999999999,8.494499999999999,7.796500000000001,9.4865,9.63,10.836000000000006,9.2405,8.304,8.4135,7.407999999999999,9.323,9.566,7.510499999999999,8.533,9.7905,9.068499999999998,9.2305,8.066999999999998,9.5295,7.2745
1.9286071428571423,9.869000000000002,8.4645,8.664000000000001,8.297500000000001,8.481,8.0925,8.793499999999998,9.533999999999999,11.584999999999996,9.0295,9.754499999999998,10.4155,9.924,11.31,10.239,8.581,8.57,9.773,9.035500000000004,10.043,8.802,9.433,8.6235,9.311,8.775999999999998,10.664000000000001,8.6555,9.3495,9.038,8.317499999999999,10.1145,10.017
2.1428857142857143,10.8675,10.627,9.4795,12.643999999999998,10.0245,10.696999999999996,9.1295,10.182,9.1755,9.759,9.51,9.646,8.870999999999997,9.9125,10.2005,11.2205,9.294,11.0385,9.4625,10.362999999999998,9.214999999999998,9.0395,9.343,9.123,9.809,11.5015,16.319000000000006,10.273500000000002,10.094,13.1605,10.291,9.924000000000001
2.3571642857142856,10.718,13.66,11.187,10.722999999999999,12.663000000000002,12.290000000000004,10.292,10.3795,10.592,10.1405,10.5695,9.7055,11.139000000000005,9.9905,9.8765,9.958999999999998,11.105,10.989,9.761500000000002,9.836,9.3935,11.119000000000005,9.7685,10.5615,10.592500000000003,9.181000000000001,10.4415,11.010500000000002,11.2905,10.211999999999998,10.041,11.972999999999999
2.571442857142857,10.3115,11.7235,11.9375,10.933000000000005,10.417,15.3335,11.487,11.285,11.6085,11.038000000000002,10.678000000000004,11.9985,10.226,11.327500000000002,12.3765,11.995500000000002,13.127499999999998,12.3955,11.783,11.834499999999998,11.6095,11.125500000000002,11.161,10.8655,11.148500000000002,11.655000000000005,11.182,12.763999999999996,10.687000000000003,10.6495,10.7285,11.441499999999998
2.785721428571428,12.443,13.243,13.436999999999998,13.4475,12.515,11.9245,12.190999999999999,11.946000000000002,13.1915,11.4735,15.384499999999996,12.538,12.131000000000002,12.423,12.486500000000005,15.499,12.8815,12.6805,11.551000000000002,12.2075,12.058000000000005,12.192000000000002,12.529000000000002,12.148999999999996,12.222500000000002,12.6625,12.200999999999999,11.8995,12.683000000000002,13.5035,13.671500000000002,11.084000000000001
3.0,12.1635,14.895,13.3305,13.2665,13.222,13.554499999999996,12.9405,13.534,12.991499999999998,13.938000000000002,14.118,13.559000000000001,12.371999999999998,12.315,12.985999999999999,12.913,13.943,13.204,11.893999999999998,13.8295,12.338,12.9515,11.934,12.335,13.830500000000002,13.457499999999998,13.6505,12.1615,12.214999999999998,14.1535,12.734000000000002,11.674499999999997
3.5,15.147000000000002,15.456500000000005,14.284,15.248,14.563000000000002,15.030999999999999,14.912,14.224000000000006,16.548999999999996,14.584000000000001,14.681,15.429999999999998,15.44,15.815999999999999,13.753999999999998,15.204000000000002,14.383500000000002,15.711000000000002,13.623,15.402999999999999,17.996,14.833000000000002,14.98,14.734000000000002,13.9475,14.689,15.06,15.151000000000002,14.2105,16.3045,14.954999999999995,15.371999999999998
5.125,20.858,20.669,21.135,21.7185,20.9965,22.21,21.1325,21.363000000000003,20.994000000000007,22.855,20.875,20.711,20.8565,19.992,21.384,20.425,22.043499999999995,20.7705,21.7005,20.969500000000004,20.822500000000005,21.2645,20.910500000000006,21.7685,20.775,21.559,22.293500000000005,21.375,20.2835,20.824,20.672,21.508000000000003
6.75,27.04300000000001,26.38750000000001,26.53800000000001,25.92100000000001,26.829500000000003,27.682,26.54300000000001,27.0815,27.35,27.691999999999997,27.48650000000001,26.535000000000004,26.7715,27.0455,27.644500000000004,26.2465,26.6615,27.575,27.42,27.599999999999994,27.200500000000005,27.101,27.8505,27.448,26.487,27.617500000000003,27.245,26.781,27.491499999999995,27.127499999999994,26.756000000000004,27.636999999999997
