density,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10
0.0001,0.05410992756506405,0.051881471379418516,0.031621916496325835,0.09134740758608056,0.108890874031853,0.07563312269171747,0.035521241616912856,0.05062761544438157,0.10848361699941204,0.13335076039137814,0.09935576395052599
0.2143785714285714,0.022597698245842048,0.2982546862903876,0.06602276578351762,0.2463314983854107,0.32494530402682537,0.07775686819248523,0.13800539101118953,0.3176263268815464,0.30636548172900474,0.10976160948440047,0.3210911004022717
0.4286571428571428,0.6312667391317159,0.6158370991348364,0.17629895996025113,0.2638723424942963,0.3731580566094345,0.5415262971040471,0.3855068805946873,0.37327781737171456,0.16220647709337885,0.2367454399848349,0.6873437612284928
0.6429357142857142,0.5631111992330792,0.6366465450704449,0.3371538664647853,0.6313318666236027,0.6701391700728202,0.578910023216241,0.6973358140063197,0.6800574488226214,0.5960561191998078,0.14751922827819106,0.6055258490714637
0.8572142857142856,0.6289194267407859,0.6601766984644599,0.474520873239537,0.44747696150074295,0.6904050026176725,0.5606783791372781,0.7663676265321296,0.7090559677067975,0.5911211888046429,0.7036615820775284,0.7038849604392984
1.071492857142857,0.527345748619881,0.7279209859840396,0.8006975687081769,0.7783352762282095,0.573306517170593,0.7421169815829886,0.7010177044613293,0.5413493179565986,0.6980145076009874,0.7056410747521299,0.4287080655166003
1.2857714285714283,0.6849633197636433,0.6987686454079566,0.7369972913924396,0.7018882101531393,0.7395832345858013,0.6934721561226824,0.6051278589029074,0.3561427257773952,0.8237282380241968,0.775828641105201,0.6936945278562713
1.50005,0.7745042793023753,0.7399296189994828,0.7875244882445255,0.7479511029240603,0.8252419634692599,0.7499103512584838,0.8213207649168859,0.7880599182877748,0.7686181588272891,0.7540999843126175,0.6843756538997807
1.7143285714285712,0.8097211253457062,0.795961801760178,0.8267573002500272,0.7485270996277477,0.7668002092467988,0.7228236066262989,0.7922946057689599,0.8168252309724008,0.7659687505918591,0.7881738490220304,0.7891828593098666
1.9286071428571423,0.7908114415606772,0.7762908590102089,0.8070725263432226,0.5323428761897219,0.7497158292256548,0.7864572665832893,0.7821099628854076,0.81262104412559,0.8069453550948072,0.775003313562904,0.8214740113442224
2.1428857142857143,0.8267431082947065,0.7840837729473868,0.7815607074412775,0.8222859991507936,0.7919399851853931,0.7936595628216493,0.8036602105791861,0.6759242264777998,0.7232500761553945,0.7790220016116205,0.7152399668435769
2.3571642857142856,0.8312802938244428,0.7108850490008615,0.8416170780205592,0.8188748887936749,0.8333308216836199,0.8120835713836416,0.8580842006213841,0.7992794222358259,0.7805297498492271,0.8065651295449776,0.8156024306272871
2.571442857142857,0.8215008733079618,0.8024553900917877,0.8174031912080738,0.7906731163110666,0.7916437849174254,0.7337056213502801,0.7860180987132678,0.7593291236211471,0.8393353751412514,0.8198763308710177,0.805472150322162
2.7857214285714282,0.8319933848131204,0.8250748274778479,0.8162182617061691,0.8127532784923464,0.8174690291714711,0.8375779188216314,0.8377083332931076,0.8154616802143508,0.8144532635059637,0.8392493124951109,0.8457315163385447
3.0,0.8517662270039805,0.8472172602347211,0.8201071461091477,0.8564060410892043,0.8082611809049468,0.8131075710070909,0.8365197216024465,0.8581873215035775,0.7808753895017196,0.7930128621158776,0.8092665247203397
3.5,0.7992459476267113,0.7975498203476279,0.8169763485299676,0.8386756300110161,0.8242875873702098,0.8308993865837364,0.8263917077884839,0.8437621133212321,0.8040743317975152,0.8039386053839078,0.7956034525174174
5.125,0.8451301686316551,0.8488314392838593,0.8311283291674109,0.8210537509382599,0.8518108511779838,0.8256275790388252,0.8495932471950323,0.8056266255495255,0.8462704661028186,0.8512611798161693,0.8286102328475038
6.75,0.8377298128575023,0.8261595134830402,0.8558631077208143,0.8533052486303924,0.8334452450617624,0.831315315167771,0.8222329977394408,0.8389368781400339,0.8211852541719367,0.8242828009406937,0.8121413260286853
8.375,0.8586061570090364,0.8462173482091414,0.8218386922226616,0.8732078167953216,0.8640768615502161,0.8309030382310724,0.8170564400741522,0.8215365839302079,0.8445791269821114,0.8273897431351845,0.8437397234054143
10.0,0.8549396384934251,0.8409742636262316,0.8414235545676129,0.8528896013195498,0.8681422816740462,0.8347066669679809,0.8434390925240542,0.8275977932824388,0.8471518771740056,0.8360749754706099,0.8116685632134383
