noise,averages,number of averages
0.0,0.9999999999894649,203
0.3157894736842105,0.9953568222475069,203
0.631578947368421,0.9815532584749881,203
0.9473684210526315,0.9586818970808942,203
1.263157894736842,0.9285289669659894,203
1.5789473684210527,0.8890201378129376,203
1.894736842105263,0.8416668276747404,203
2.2105263157894735,0.790370730138858,203
2.526315789473684,0.72842030901206,203
2.8421052631578947,0.6567735963751719,203
3.1578947368421053,0.5882742084128102,203
3.4736842105263155,0.508889230135724,203
3.789473684210526,0.406991894658768,203
4.105263157894736,0.3032869599680552,203
4.421052631578947,0.24500892778074973,203
4.7368421052631575,0.1799666440002201,203
5.052631578947368,0.16548795111440537,203
5.368421052631579,0.15178929822535714,203
5.684210526315789,0.1533094319603533,203
6.0,0.14249445782583497,203
