average,noise,std,std error
0.00236328772359,0.0,0.000564686067583,1.78658765379e-05
0.00239073223094,0.263157894737,0.000604140303669,1.91141533261e-05
0.0022501153552,0.526315789474,0.000528020173012,1.67058189711e-05
0.00178412779717,0.789473684211,0.000454741429335,1.43873821218e-05
0.00157093109103,1.05263157895,0.000376772329886,1.1920548983e-05
0.00137654882996,1.31578947368,0.000334701786512,1.05894958954e-05
0.000923527008506,1.57894736842,0.000224038261706,7.08825691509e-06
0.000669798054331,1.84210526316,0.00016694863431,5.28202103786e-06
0.000605016672845,2.10526315789,0.000135330210257,4.28165837108e-06
0.000266388585678,2.36842105263,0.000129353076003,4.09255021212e-06
0.000170365510053,2.63157894737,9.53762162701e-05,3.01756994258e-06
0.000205870507822,2.89473684211,6.68127412597e-05,2.11386158616e-06
7.60948994313e-05,3.15789473684,6.08910906564e-05,1.92650885222e-06
1.02052907353e-05,3.42105263158,3.397571868e-05,1.07494416822e-06
9.57728572746e-06,3.68421052632,3.64123623309e-05,1.15203616169e-06
-4.48075756072e-05,3.94736842105,2.40438338545e-05,7.60713238384e-07
2.55106852621e-05,4.21052631579,2.60166508592e-05,8.2313040619e-07
-3.288546033e-05,4.47368421053,2.59959137739e-05,8.22474313848e-07
1.77315903289e-05,4.73684210526,1.66630673463e-05,5.27196120182e-07
-8.39083629144e-05,5.0,2.42857646433e-05,7.68367589806e-07
