noise,mean (206 averages),std,std_error
0.0,1.0,2.2041390032319708e-16,1.5356964116395328e-17
0.2631578947368421,0.9970335002704889,0.0004180822138320448,2.9129168106491325e-05
0.5263157894736842,0.9882261381197786,0.0018797949927415352,0.00013097152315430993
0.7894736842105263,0.9734058527422467,0.004220906627907173,0.0002940844997905232
1.0526315789473684,0.9531992357474338,0.007211713321415532,0.0005024638760636858
1.3157894736842104,0.9266934495278808,0.011629448276591892,0.0008102620552298327
1.8421052631578947,0.8637240294120898,0.021184525687514177,0.0014759958438599957
2.1052631578947367,0.8196635910769431,0.02928918790882686,0.002040674417787054
2.3684210526315788,0.7756359438875037,0.03174328548372866,0.002211659497859762
2.631578947368421,0.736182042070477,0.038372643005229905,0.002673548722736999
3.1578947368421053,0.6271763635932933,0.05288596863308608,0.003684740033946201
4.2105263157894735,0.3753978223226818,0.09351402956051401,0.006515431169425236
4.473684210526316,0.303153349800011,0.10206111757664217,0.00711093500911451
4.7368421052631575,0.2730679955953539,0.09804230226137885,0.006830930878266037
5.0,0.21387357592104148,0.09060669762518454,0.006312867755140399
