noise,mean (461 averages),std,std_error
0.0,0.9999484176920442,0.0005464328164076658,2.5449913502455354e-05
0.2631578947368421,0.9969911179560019,0.0012751582975974209,5.939004284029182e-05
0.5263157894736842,0.9881770731838705,0.001851698309276492,8.62421882227724e-05
0.7894736842105263,0.9734666350302159,0.004085196743885886,0.00019026658108842954
1.0526315789473684,0.9530301604525777,0.007288543952405661,0.0003394613346376719
1.3157894736842104,0.9277778711537563,0.010621599663700996,0.000494697215434492
1.5789473684210529,0.8979740376160045,0.015905732297711368,0.0007408038079249699
1.8421052631578947,0.8628146312447538,0.02170819269321058,0.0010110513310106024
2.1052631578947367,0.8231550221570956,0.027152414124958602,0.0012646140021493578
2.3684210526315788,0.778791869546906,0.03330117898143405,0.0015509905319723608
2.631578947368421,0.7323097793380652,0.041051235349317185,0.0019119466427316928
2.8947368421052637,0.6782311804235555,0.04689856575983402,0.0021842839707608857
3.1578947368421053,0.6312614945770172,0.05118858688030912,0.0023840901741246745
3.4210526315789487,0.5691836424876778,0.06274249928992635,0.002922209523128654
3.684210526315789,0.5149079223943589,0.07227642829583245,0.003366248865666677
3.947368421052632,0.4565234742081726,0.07570239797924506,0.0035258121815708904
4.2105263157894735,0.3981381549285744,0.08797012973141541,0.004097177411822974
4.473684210526316,0.32879298596688006,0.09384262602592625,0.004370686831922095
4.7368421052631575,0.26425768224166685,0.09812890647907395,0.004570318815039469
5.0,0.2125528387983082,0.0984815299520446,0.004586742127506382
