noise,mean (500 averages),std,std_error
0.0,1.0000000000000002,6.668009494588453e-16,2.982024500902759e-17
0.2631578947368421,0.9970785794711854,0.0004561688551106517,2.040049138491339e-05
0.5263157894736842,0.9883425840129013,0.0018175913039492162,8.128515421885858e-05
0.7894736842105263,0.9737516169584086,0.00389038836332312,0.00017398345678529292
1.0526315789473684,0.9534438076160028,0.007351139497564616,0.0003287529525727626
1.3157894736842104,0.9283402692921484,0.011682464051415977,0.0005224556752732745
1.5789473684210529,0.8972012490530354,0.01496776950445907,0.0006693790016703764
1.8421052631578947,0.8640285479738147,0.021002966147483922,0.0009392812006980185
2.1052631578947367,0.8181525455406454,0.026448938607061268,0.0011828324931621517
2.3684210526315788,0.7790644889840228,0.034224788083162996,0.0015305790533895437
2.631578947368421,0.7328976817192466,0.04179586933900533,0.0018691681004143024
2.8947368421052633,0.6833536477925582,0.04550368244021181,0.002034986543257542
3.1578947368421053,0.627264128572594,0.056473608084768374,0.002525576532244476
3.421052631578948,0.5703291181294547,0.06053797142743756,0.002707340386633807
3.684210526315789,0.510228663301007,0.07266717305042139,0.0032497747734696594
3.947368421052632,0.4597508801549196,0.07755275598185662,0.0034682646843576972
4.2105263157894735,0.3945855330127301,0.08707153099976293,0.0038939572444090026
4.473684210526316,0.32690346533250003,0.09203791391173571,0.004116060640278293
4.7368421052631575,0.2650416352617606,0.09738157244663558,0.004355036314929953
5.0,0.21220255666674337,0.0961019829090035,0.004297811331141096
