density,mean (61 averages),std,std_error
0.0001,0.1409216668406482,0.06431086984827239,0.008234163121143351
0.2143785714285714,0.31714945414671153,0.16225315784446687,0.020774388089665224
0.4286571428571428,0.49897568025245864,0.18072311892530557,0.02313922427893783
0.6429357142857142,0.6262212539391914,0.12712787203223688,0.01627705608751608
0.8572142857142856,0.7045199792717136,0.11580364377411964,0.014827137233698814
1.071492857142857,0.7577725965784957,0.08778572911271695,0.011239810858226671
1.2857714285714283,0.7862860488577167,0.05855948415989393,0.007497773642312663
1.50005,0.7831446329739955,0.05789922709271488,0.007413236387477413
1.7143285714285712,0.7967404134928129,0.0520890834878568,0.006669323728349315
1.9286071428571423,0.8123984359663243,0.039911757046638074,0.005110176844891314
2.1428857142857143,0.819201250224673,0.031224066696109398,0.003997832078586495
2.3571642857142856,0.8224377094124102,0.029043224353555108,0.003718603829420296
2.571442857142857,0.8298295016674614,0.03854542790166396,0.004935236324207447
2.785721428571428,0.8262135604483299,0.028396059281882303,0.003635742832841761
3.0,0.8301279536114895,0.02809203079935064,0.003596815974527674
3.5,0.8379810911083828,0.027057708451887177,0.0034643845683135833
5.125,0.8412718815557185,0.02196115677880979,0.0028118379936759737
6.75,0.8433380737034761,0.024308252749472986,0.0031123528386627613
8.375,0.8452966458887544,0.021014013305849413,0.00269056869854932
10.0,0.8490986141227073,0.026495436669466972,0.003392393043618192
