noise,averages,number of averages
0.0,0.9976410110437415,20
0.2631578947368421,0.9962171419685818,20
0.5263157894736842,0.985409381485342,20
0.7894736842105263,0.9658605886591406,20
1.0526315789473684,0.9388460708619333,20
1.3157894736842104,0.9034974895084884,20
1.5789473684210527,0.8670512697682066,20
1.8421052631578947,0.8190665779049449,20
2.1052631578947367,0.7692856598700697,20
2.3684210526315788,0.6985813600381952,20
2.631578947368421,0.6461415256803615,20
2.894736842105263,0.569545266606769,20
3.1578947368421053,0.4803727648251922,20
3.4210526315789473,0.3942011953952933,20
3.6842105263157894,0.3354055402191301,20
3.9473684210526314,0.19385123867258813,20
4.2105263157894735,0.17320447555692497,20
4.473684210526316,0.09706631755564862,20
4.7368421052631575,0.06624085825767367,20
5.0,0.04282531165843605,20
