noise,mean (101 averages),std,std_error
0.0,0.9999999992614668,4.903529667908347e-09,4.879194382866843e-10
0.2631578947368421,0.9970190061060972,0.00040106267559906697,3.99072277826196e-05
0.5263157894736842,0.9879769702236469,0.0017275249589484183,0.00017189515811696611
0.7894736842105263,0.9738913756484872,0.0039780912504600785,0.00039583487402567385
1.0526315789473684,0.952627764654236,0.007293092621962582,0.0007256898390498851
1.3157894736842104,0.9245030224449521,0.01097674060249848,0.0010922265126773992
1.5789473684210529,0.8979747188803024,0.014612071091173488,0.0014539554161709877
1.8421052631578947,0.8607287951486072,0.0222476840279104,0.0022137273003811618
2.1052631578947367,0.8209019987524945,0.028333804130131684,0.0028193188849606416
2.3684210526315788,0.7806068891195521,0.030492021526035515,0.0030340695423088887
2.631578947368421,0.7269867611038123,0.042245126249345,0.004203547172321451
2.8947368421052637,0.6788402279755417,0.04675121430557987,0.004651919692152924
3.1578947368421053,0.6206249600134137,0.0514990245952989,0.005124344473186134
3.4210526315789487,0.5734001462218979,0.06416076558543897,0.006384234790985696
3.684210526315789,0.5022799829334426,0.06701893179999661,0.006668632958914352
3.947368421052632,0.4454068220608395,0.08346132574896926,0.0083047123064455
4.2105263157894735,0.38579340537455165,0.08403595017036083,0.008361889573414251
4.473684210526316,0.27772109672097295,0.10032348510027878,0.00998255987262551
4.7368421052631575,0.24889412358306134,0.09764188174840144,0.00971573036617454
5.0,0.20794797998284328,0.09531358093944765,0.009484055776684036
