density,mean (12 averages),std,std_error
0.0001,0.8233689314383333,0.007406390092913532,0.0021380406569335027
0.21437857142900002,0.8176789711494168,0.00971645181905961,0.0028048980366510473
0.428657142857,0.8162479514718334,0.007563776914997568,0.0021834743189820616
0.6429357142859999,0.8191077636083333,0.008786635271432166,0.002536483119616211
0.857214285714,0.8179324445663333,0.008330051097263678,0.002404678621684261
1.07149285714,0.8237862635288334,0.012220355022181537,0.003527712630824653
1.2857714285700002,0.8153370575239999,0.007199451418895219,0.002078302607358394
1.50005,0.8230737066905002,0.009299689279106186,0.0026845890543359167
1.71432857143,0.8188925084145001,0.006779402457190362,0.001957044916801833
1.9286071428599998,0.8226864660799166,0.010153660843639467,0.0029311094106677046
2.14288571429,0.8178570245990833,0.01034987746520814,0.0029877522703087808
2.3571642857099997,0.8181390289410833,0.01180224038860788,0.003407013332701717
2.57144285714,0.8160195360467499,0.007112934127378548,0.0020533272165850405
2.78572142857,0.8188100722299999,0.009029313157897852,0.0026065381911548773
3.0,0.8203472523469166,0.007565743186405274,0.002184041932645331
3.5,0.8234474024620834,0.009974323517371422,0.0028793391838694026
5.125,0.8198409887219998,0.008665246561225297,0.002501441217358952
6.75,0.8200126232404167,0.010858444564167399,0.0031345629460513384
8.375,0.8195784164560833,0.008842866355371177,0.0025527156353407168
10.0,0.8170247737556666,0.0054402887907128925,0.001570476098893696
