k_density,mean (101 averages),std,std_error
0,0.14418892827844546,0.06826202671962349,0.0067923255265133365
1,0.4360961484969715,0.18537985945180382,0.01844598544704456
2,0.7280721584380819,0.07579802833394336,0.007542185713686415
3,0.7855172353457377,0.04081329405968308,0.0040610745444361095
4,0.8033237862032095,0.038880405691826735,0.0038687449633819744
5,0.8070659999106293,0.034247969497877645,0.0034078003339565585
6,0.8230174210650352,0.029879883709188045,0.0029731595529791702
7,0.8272986521673655,0.027469366594435565,0.0027333041352975303
8,0.8281179406321287,0.031393540334539005,0.0031237740165223657
9,0.8276323737812178,0.024127159292125517,0.0024007420789785407
10,0.8324505038265508,0.025932952235369674,0.0025804251926132096
11,0.8347419386590591,0.0244640326336072,0.002434262229294999
12,0.8339370037310905,0.029698722791757563,0.002955133367953581
13,0.8322734885970065,0.027147237419287994,0.00270125108436518
14,0.8323515135742605,0.025014658325991743,0.0024890515334757735
15,0.8329486929311196,0.026086622149418797,0.0025957159205627347
16,0.8317273969288198,0.024059560713457922,0.0023940157690005813
17,0.8343067977442697,0.02493949112967218,0.0024815721178935955
18,0.8341062205774764,0.023876930419039977,0.0023758433755000957
19,0.8422189244947649,0.024647818129219966,0.0024525495696105866
