noise,averages,number of averages
0.0,0.9998339520858625,22
0.3157894736842105,0.9951636904272715,22
0.631578947368421,0.9809339551794846,22
0.9473684210526315,0.9573015541773233,22
1.263157894736842,0.925267533807682,22
1.5789473684210527,0.8854773125039421,22
1.894736842105263,0.8400558077212587,22
2.2105263157894735,0.780121294982565,22
2.526315789473684,0.7218553509288882,22
2.8421052631578947,0.6525244896194646,22
3.1578947368421053,0.576269313057379,22
3.4736842105263155,0.49902641850124463,22
3.789473684210526,0.362361373253701,22
4.105263157894736,0.1921858342729892,22
4.421052631578947,0.10149930186898141,22
4.7368421052631575,0.07328856323878932,22
5.052631578947368,0.055605997815659024,22
5.368421052631579,0.05296349583999251,22
5.684210526315789,0.045520523694981635,22
6.0,0.038921119235876746,22
