noise,average_0,average_1,average_2
0.0,0.999924729883,0.999999999999,1.0
0.263157894737,0.995846014383,0.99670942809,0.997134177676
0.526315789474,0.986759802775,0.985595035658,0.987061058321
0.789473684211,0.972823856826,0.969347529095,0.96916848857
1.05263157895,0.942199080691,0.942446502246,0.943486936239
1.31578947368,0.922753713759,0.918306836822,0.920719081565
1.57894736842,0.885795041289,0.871446806932,0.84413170638
1.84210526316,0.837936397492,0.833460241913,0.825440222358
2.10526315789,0.81150006084,0.75404327226,0.804880166691
2.36842105263,0.735786136355,0.740538037011,0.707816563347
2.63157894737,0.681360600589,0.677387718156,0.616998413607
2.89473684211,0.618630751853,0.532203757368,0.62488681095
3.15789473684,0.550239143642,0.555757586377,0.584919073812
3.42105263158,0.501112988796,0.460114303172,0.400275855328
3.68421052632,0.332355638605,0.423912753863,0.31289921489
3.94736842105,0.175303153,0.406627526915,0.311589834821
4.21052631579,0.220385406864,0.286748263195,0.144304995777
4.47368421053,0.142526347727,0.148870459915,0.0719536242749
4.73684210526,0.0407118727848,0.103014187692,0.110182320442
5.0,0.0486122881048,0.0670841003901,0.0614312695066
