density,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10,average_11
0.0001,0.832681518407,0.826207932901,0.816681522904,0.825309596032,0.822507978037,0.836559659216,0.821265495825,0.821726318203,0.825470337273,0.82510363076,0.8195531428,0.807360044902
0.214378571429,0.807506548558,0.810449608345,0.818921120358,0.81977818553,0.836874623132,0.808483412873,0.82688462167,0.828517757287,0.819325417265,0.820461042938,0.808649367438,0.806295948399
0.428657142857,0.811392728085,0.815986501136,0.820465238034,0.803491619446,0.82113205948,0.81333706439,0.820097478176,0.806246648452,0.815790573007,0.819899258184,0.832436130941,0.814700118331
0.642935714286,0.832994542527,0.809218259858,0.823874732981,0.815516218027,0.832974345558,0.823630162492,0.820718503507,0.823237574624,0.805832601934,0.812077412227,0.811111104299,0.818107705266
0.857214285714,0.803048360364,0.816630211808,0.815386356,0.820725670778,0.828600335783,0.830142242537,0.813682517589,0.823150987098,0.816594500327,0.826165310419,0.806145522987,0.814917319106
1.07149285714,0.845800835191,0.825139619035,0.830664990487,0.818088899572,0.835376756037,0.820208174958,0.833192758184,0.812669023127,0.812248308382,0.807446423802,0.809795566145,0.834803807426
1.28577142857,0.81214223357,0.824485569825,0.812054369168,0.814982737652,0.806536318196,0.80556174168,0.816902481381,0.824313121054,0.81712899325,0.808791918652,0.827936281237,0.813208924623
1.50005,0.818899001405,0.811777504641,0.81572180413,0.820152622349,0.81177226759,0.844042443322,0.828587010147,0.825442739608,0.831614258516,0.821799392435,0.817823871357,0.829251564786
1.71432857143,0.822655139401,0.822726349478,0.818670440146,0.825522980857,0.813933937624,0.826952370462,0.812281918431,0.825289939762,0.812644808602,0.815143111335,0.805914318822,0.824974786054
1.92860714286,0.81646349686,0.82149202598,0.823505269906,0.81981635404,0.843275372137,0.81836149672,0.802990166239,0.825385095007,0.826167562123,0.836913998786,0.817440428037,0.820426327124
2.14288571429,0.82150819475,0.809998849139,0.811728882055,0.806025246153,0.819606572725,0.827145817875,0.821624735339,0.825786982604,0.799953728281,0.838175340017,0.819640308887,0.813089637364
2.35716428571,0.801813325721,0.834213363082,0.813066255879,0.808961051253,0.832353516823,0.826868678264,0.818595181998,0.806540581522,0.831103456598,0.81864868099,0.801394827902,0.824109427261
2.57144285714,0.804544507108,0.823005356824,0.808214358439,0.811274996192,0.827882870351,0.817582722287,0.817616015107,0.81669225379,0.805906685586,0.820303521626,0.819826450131,0.81938469512
2.78572142857,0.835099623362,0.812615605453,0.815550592024,0.82886614883,0.823398709646,0.817725184333,0.808724979528,0.828515006953,0.806437960414,0.809708563373,0.823161831305,0.815916661539
3.0,0.817129572499,0.827552419401,0.820057781068,0.819240193362,0.836600114309,0.823460697237,0.812798324259,0.814818383182,0.816429954711,0.813221542928,0.813176667768,0.829681377439
3.5,0.80677523897,0.817489998993,0.818241643353,0.832792655716,0.817150603417,0.823273671231,0.819608836919,0.842624988763,0.824188160116,0.838295998798,0.818813955903,0.822113077366
5.125,0.821660225999,0.811281990634,0.826222098087,0.805158662077,0.827574367582,0.811012738339,0.827972512399,0.82093673201,0.828135427854,0.807964703247,0.828489306299,0.821683100137
6.75,0.830556360019,0.807650382861,0.821834915628,0.809944224442,0.81318032473,0.809092283991,0.82032332853,0.815702207113,0.817269490682,0.846362436918,0.826133091113,0.822102432858
8.375,0.824324917979,0.826820069621,0.812585032638,0.820282339525,0.80905827362,0.818627758673,0.831101581967,0.831784878137,0.822198347832,0.804695301477,0.809736846562,0.823725649442
10.0,0.827560261334,0.819797344085,0.810873735017,0.814376871527,0.823018668995,0.809392463975,0.819973496459,0.816762112147,0.815003526685,0.818739144658,0.81002457012,0.818775090066
