density,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.2143785714285714,3.96,3.94,3.94,4.0,4.04,4.06,4.02,4.14,4.22,4.3,4.26,4.22,4.2,4.24,4.28,4.26,4.28,4.3,4.4,4.36,4.38,4.42,4.32,4.34,4.3,4.34,4.32,4.26,4.3,4.3,4.36,4.28,4.32,4.32,4.26,4.34,4.3,4.4,4.38,4.42,4.42,4.42,4.4,4.38,4.36,4.32,4.4,4.38,4.4,4.4,4.42,4.46,4.46,4.48,4.44,4.4,4.4,4.44,4.4,4.42,4.4,4.36,4.42,4.38,4.4,4.36,4.4,4.4,4.4,4.38,4.4,4.4,4.34,4.36,4.34,4.3,4.32,4.3,4.28,4.26,4.28,4.28,4.28,4.28,4.28,4.26,4.28,4.3,4.26,4.24,4.24,4.24,4.24,4.24,4.28,4.2,4.18,4.18,4.24,4.2
0.4286571428571428,6.48,6.42,6.42,6.48,6.48,6.48,6.46,6.46,6.4,6.46,6.5,6.48,6.48,6.5,6.48,6.56,6.4,6.34,6.32,6.26,6.36,6.24,6.32,6.24,6.4,6.46,6.46,6.54,6.52,6.46,6.5,6.42,6.5,6.46,6.56,6.54,6.6,6.68,6.74,6.74,6.74,6.78,6.82,6.84,6.76,6.8,6.86,6.84,6.84,6.86,6.82,6.9,6.86,6.88,6.92,6.9,6.76,6.72,6.76,6.62,6.68,6.64,6.56,6.54,6.5,6.52,6.54,6.58,6.52,6.54,6.46,6.48,6.52,6.48,6.52,6.48,6.56,6.56,6.5,6.5,6.52,6.6,6.52,6.46,6.5,6.5,6.52,6.56,6.52,6.52,6.56,6.64,6.58,6.54,6.52,6.5,6.5,6.46,6.46,6.46
0.6429357142857142,7.98,8.02,8.02,8.1,8.1,8.1,8.12,8.18,8.14,8.14,8.08,8.12,8.2,8.34,8.4,8.42,8.3,8.34,8.26,8.18,8.16,8.14,8.22,8.22,8.18,8.1,8.14,8.1,8.1,8.12,8.1,8.16,8.1,8.04,8.12,8.14,8.18,8.2,8.18,8.1,8.06,8.04,8.1,8.08,8.18,8.1,8.1,8.2,8.14,8.08,8.08,8.1,8.0,7.94,7.94,7.96,7.9,7.96,7.94,7.9,7.92,7.98,7.94,7.84,7.88,7.84,7.84,7.84,7.78,7.86,7.82,7.8,7.86,7.9,7.86,7.8,7.78,7.84,7.84,7.8,7.72,7.64,7.66,7.64,7.58,7.64,7.62,7.62,7.6,7.54,7.5,7.48,7.56,7.62,7.52,7.52,7.5,7.5,7.48,7.56
0.8572142857142856,12.02,12.0,12.1,12.1,12.16,12.12,12.14,12.24,12.4,12.4,12.4,12.42,12.5,12.54,12.48,12.5,12.48,12.48,12.46,12.54,12.48,12.54,12.54,12.5,12.54,12.54,12.52,12.68,12.6,12.62,12.78,12.9,12.88,12.82,12.84,12.76,12.8,12.76,12.78,12.7,12.72,12.64,12.6,12.66,12.76,12.68,12.7,12.78,12.76,12.64,12.68,12.72,12.66,12.68,12.62,12.58,12.56,12.54,12.62,12.66,12.66,12.66,12.7,12.72,12.62,12.62,12.56,12.6,12.48,12.46,12.6,12.52,12.54,12.5,12.38,12.5,12.5,12.5,12.5,12.44,12.36,12.4,12.34,12.24,12.18,12.2,12.12,12.02,11.98,11.94,11.9,11.94,12.0,11.88,11.92,11.88,11.82,11.78,11.72,11.68
1.071492857142857,6.96,7.0,7.04,7.08,6.98,6.92,6.94,6.96,6.98,6.96,7.02,7.02,6.96,6.94,6.92,6.94,6.96,7.02,7.0,6.98,6.94,6.96,6.96,7.0,7.0,7.04,7.0,7.04,6.98,6.92,6.94,7.0,7.02,6.94,7.02,7.0,6.98,6.94,6.9,6.88,6.84,6.86,6.84,6.76,6.7,6.74,6.66,6.6,6.6,6.56,6.6,6.56,6.62,6.56,6.66,6.62,6.62,6.58,6.48,6.6,6.62,6.64,6.68,6.78,6.82,6.82,6.82,6.78,6.78,6.88,6.88,6.84,6.86,6.9,6.96,7.02,7.02,7.06,7.1,7.1,7.18,7.08,7.16,7.12,7.1,7.06,7.1,7.2,7.14,7.14,7.16,7.16,7.04,7.02,7.04,7.08,6.96,6.96,7.04,7.02
1.2857714285714283,8.6,8.56,8.58,8.6,8.7,8.76,8.82,8.72,8.78,8.72,8.94,8.84,8.88,8.84,8.88,8.84,8.74,8.84,8.82,8.78,8.76,8.76,8.76,8.8,8.88,8.92,8.96,8.84,8.76,8.94,8.94,8.86,8.94,8.88,8.82,8.88,8.84,8.84,8.74,8.72,8.76,8.84,8.92,8.92,8.98,8.94,8.96,8.92,8.94,8.94,8.88,8.86,8.76,8.9,8.76,8.74,8.8,8.82,8.84,8.7,8.76,8.8,8.86,8.82,8.76,8.76,8.74,8.66,8.62,8.64,8.58,8.62,8.58,8.54,8.54,8.52,8.46,8.56,8.6,8.54,8.58,8.56,8.56,8.52,8.46,8.42,8.28,8.38,8.34,8.32,8.36,8.24,8.28,8.26,8.26,8.28,8.28,8.3,8.3,8.26
1.5000499999999999,9.82,9.76,9.66,9.74,9.74,9.62,9.58,9.7,9.76,9.76,9.72,9.76,9.8,9.78,9.78,9.74,9.56,9.62,9.66,9.6,9.64,9.62,9.7,9.54,9.58,9.52,9.48,9.42,9.46,9.42,9.32,9.28,9.28,9.34,9.32,9.34,9.4,9.4,9.3,9.32,9.34,9.44,9.44,9.38,9.36,9.38,9.3,9.26,9.32,9.34,9.2,9.3,9.24,9.06,9.08,9.14,9.08,9.04,9.04,9.08,8.96,9.02,8.94,8.9,8.88,8.88,8.88,8.94,8.92,8.94,9.04,8.98,9.02,8.96,9.04,8.98,9.08,8.98,8.98,8.98,9.0,9.02,8.98,8.94,8.98,9.04,8.92,8.88,8.94,8.94,8.96,9.04,9.16,9.14,9.18,9.2,9.2,9.2,9.26,9.22
1.7143285714285712,10.58,10.62,10.62,10.68,10.68,10.64,10.52,10.5,10.5,10.52,10.52,10.56,10.44,10.44,10.44,10.42,10.38,10.36,10.36,10.28,10.36,10.32,10.3,10.3,10.26,10.34,10.38,10.4,10.4,10.48,10.42,10.54,10.54,10.56,10.54,10.48,10.54,10.54,10.58,10.54,10.48,10.6,10.54,10.52,10.54,10.5,10.56,10.56,10.42,10.34,10.4,10.4,10.28,10.32,10.18,10.14,10.18,10.22,10.14,10.1,10.08,10.06,10.1,10.12,10.08,10.14,10.06,10.2,10.16,10.04,10.06,9.98,9.96,10.12,10.1,10.08,10.08,9.92,9.96,9.86,9.96,9.88,9.92,9.98,9.98,10.0,10.0,10.04,10.0,10.1,10.18,10.12,10.06,10.02,9.98,10.1,10.08,10.1,10.12,10.06
1.9286071428571425,11.62,11.76,11.8,11.84,11.88,12.02,11.94,11.98,12.04,12.12,12.12,12.16,12.18,12.28,12.28,12.28,12.42,12.36,12.42,12.4,12.44,12.42,12.4,12.4,12.36,12.26,12.34,12.46,12.4,12.4,12.48,12.42,12.44,12.48,12.44,12.38,12.38,12.26,12.14,12.08,12.02,12.0,12.1,12.04,12.1,12.14,12.1,12.16,12.16,12.14,12.1,12.06,12.04,12.0,11.98,11.92,11.86,11.96,11.92,11.98,11.94,11.94,11.88,11.82,11.84,11.92,11.9,11.92,11.96,11.82,11.88,11.92,11.76,11.72,11.74,11.66,11.54,11.56,11.66,11.54,11.46,11.46,11.4,11.34,11.28,11.3,11.3,11.26,11.2,11.18,11.32,11.26,11.3,11.36,11.34,11.36,11.46,11.44,11.38,11.32
