density,mean (11 averages),std,std_error
0.0001,1.0013,0.0033660065359413425,0.0010148891565092146
0.2143785714285714,2.7842545454545453,0.15672317227287333,0.04725381439848652
0.4286571428571428,4.3615818181818184,0.3428198647050136,0.10336407835517565
0.6429357142857142,6.136063636363636,0.5944334096813993,0.17922841661498334
0.8572142857142856,7.066518181818181,0.7380282620851074,0.22252389363767086
1.071492857142857,7.7851727272727285,0.6265403212737537,0.18890901469943347
1.2857714285714283,8.711427272727272,0.9541870509401282,0.2876982207076491
1.50005,10.006490909090909,1.4512881433089326,0.4375798394588424
1.7143285714285712,10.870118181818183,2.724191528809302,0.8213746507386461
1.9286071428571423,11.59831818181818,1.9536844227347376,0.5890580171793827
2.1428857142857143,12.806918181818183,1.1567485982858867,0.34877282520762104
2.3571642857142856,12.719236363636362,1.1920477962504086,0.3594159338484207
2.571442857142857,12.800854545454548,1.1942811740655015,0.36008932259639953
2.785721428571428,14.683272727272726,1.4530198863683235,0.43810197963714254
3.0,15.17139090909091,1.5591202785253904,0.47009245153664775
3.5,16.065427272727273,1.078504587928034,0.32518136843946843
5.125,21.756200000000003,0.5601172466546629,0.16888170416004228
6.75,28.950781818181824,1.8566858699404067,0.5598118531042668
8.375,34.69689090909091,0.9745999286420535,0.29385293491025805
10.0,41.02615454545455,0.5552721303354524,0.16742084662400147
