noise,averages,number of averages
0.0,1.0,6
0.2631578947368421,0.9960989880759875,6
0.5263157894736842,0.9864800624176642,6
0.7894736842105263,0.9658250897204307,6
1.0526315789473684,0.9258724613898176,6
1.3157894736842104,0.9456536420084714,6
1.5789473684210527,0.894026014321306,6
1.8421052631578947,0.819750738438314,6
2.1052631578947367,0.9172409285092913,6
2.3684210526315788,0.6073839255501406,6
2.631578947368421,0.6867683131084736,6
2.894736842105263,0.5629037824409019,6
3.1578947368421053,0.491161431234834,6
3.4210526315789473,0.31957367963852884,6
3.6842105263157894,0.5808845139024599,6
3.9473684210526314,0.6389050070863902,6
4.2105263157894735,0.37037112529319566,6
4.473684210526316,0.3644431426147212,6
4.7368421052631575,0.43401656794187105,6
5.0,0.22518884100900782,6
